data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	
D00480	0.41591	0.63082	0.6917	0.60252	0.61308	0.64136	0.68998	0.57574	0.72105	0.69875	0.72001	0.71926	0.52333	0.59477	0.77536	0.68887	0.60752	0.69408	0.62597	0.43989	0.67252	0.68129	0.65435	0.54142	0.69406	0.71005	0.70665	0.54856	0.5827	0.69406	0.64286	0.59182	0.53319	0.56115	0.44619	0.73952	0.49814	0.69489	0.69632	0.62606	0.60858	0.6772	0.56607	0.60002	1.0	0.48679	0.53193	0.519	0.62626	0.60212	0.56195	0.6809	0.42883	0.49237	0.72587	0.66618	0.52143	0.62175	0.57063	0.45127	
D00495	0.54311	0.7016	0.70977	0.65408	0.74489	0.64709	0.74084	0.64654	0.66764	0.54835	0.7246	0.67769	0.66647	0.66966	0.69995	0.72791	0.66319	0.70036	0.68947	0.71393	0.71958	0.72551	0.68883	0.64705	0.72264	0.72629	0.70152	0.60893	0.75824	0.6973	0.63142	0.63073	0.7249	0.72118	0.77691	0.64793	0.62846	0.73196	0.70965	0.67769	0.681	0.68153	0.7378	0.72666	0.63163	1.0	0.84259	0.59728	0.64826	0.60893	0.66406	0.71441	0.65003	0.72969	0.67499	0.62931	0.66941	0.71616	0.53351	0.86495	
D00499	0.47995	0.69134	0.68564	0.65499	0.74622	0.57155	0.69485	0.5482	0.63577	0.50659	0.72531	0.64806	0.61557	0.64444	0.6496	0.73065	0.61684	0.70204	0.64773	0.62197	0.7523	0.75648	0.68928	0.63248	0.71177	0.71617	0.70204	0.49483	0.6313	0.68525	0.54973	0.53618	0.71113	0.65096	0.62973	0.59598	0.49483	0.72276	0.74736	0.58685	0.59789	0.61452	0.62891	0.66933	0.58021	0.73271	1.0	0.54049	0.58073	0.53661	0.61755	0.71504	0.59225	0.64384	0.63343	0.55965	0.5793	0.70194	0.49924	0.68783	
D00504	0.62233	0.74724	0.74877	0.65408	0.71701	0.67722	0.71286	0.64654	0.69063	0.78911	0.74724	0.72061	0.75015	0.60715	0.75386	0.76565	0.72859	0.75386	0.79108	0.60609	0.7199	0.72551	0.7566	0.74798	0.72303	0.76059	0.71793	0.70594	0.82223	0.76124	0.71366	0.61406	0.70918	0.76509	0.58626	0.71761	0.60893	0.75373	0.7372	0.75419	0.71584	0.66437	0.84467	0.80415	0.66385	0.59728	0.65037	1.0	0.76783	0.78522	0.74494	0.73397	0.58338	0.6482	0.72696	0.83019	0.85812	0.66331	0.83871	0.59785	
D00512	0.48506	0.67089	0.78215	0.6127	0.61178	0.67243	0.67016	0.50761	0.70834	0.68588	0.69585	0.70256	0.63394	0.57657	0.78884	0.71333	0.65388	0.7231	0.66907	0.47367	0.69389	0.69109	0.71127	0.58985	0.66596	0.69696	0.70413	0.61823	0.63469	0.75681	0.74225	0.51095	0.59273	0.69734	0.54807	0.72132	0.54803	0.69377	0.7056	0.66585	0.62416	0.64447	0.68616	0.62696	0.63604	0.50342	0.53245	0.62299	1.0	0.65254	0.5943	0.78985	0.47977	0.52668	0.71345	0.67046	0.65815	0.63147	0.62262	0.4518	
D00513	0.46102	0.66835	0.72424	0.66429	0.60469	0.67866	0.71408	0.56638	0.72497	0.64444	0.70267	0.73939	0.61557	0.52611	0.78126	0.69451	0.61786	0.68815	0.66313	0.54388	0.67753	0.69583	0.66209	0.61684	0.6607	0.71617	0.7187	0.57232	0.68986	0.77492	0.66629	0.55236	0.56912	0.65152	0.47535	0.77235	0.49304	0.71088	0.70067	0.71113	0.61504	0.63272	0.64962	0.63208	0.6504	0.49905	0.53388	0.67534	0.70082	1.0	0.5852	0.74484	0.4556	0.54563	0.71791	0.6327	0.63906	0.68278	0.65601	0.49805	
D00519	0.47075	0.62077	0.6573	0.57804	0.6606	0.53926	0.67276	0.55932	0.60979	0.62272	0.64445	0.59905	0.52103	0.59186	0.61885	0.70486	0.59167	0.63191	0.7033	0.42965	0.71874	0.71462	0.65929	0.78725	0.68422	0.65606	0.68397	0.56396	0.53294	0.67017	0.5755	0.53291	0.52357	0.5288	0.51399	0.54893	0.48309	0.68756	0.69036	0.68928	0.52054	0.63426	0.50208	0.48705	0.53919	0.50474	0.54927	0.58561	0.57154	0.51692	1.0	0.68384	0.51429	0.54284	0.65886	0.62288	0.53641	0.6154	0.63429	0.47224	
D00521	0.39323	0.63051	0.58036	0.54794	0.59648	0.49767	0.57531	0.51653	0.62179	0.50611	0.65037	0.56598	0.57217	0.48594	0.63387	0.58136	0.62548	0.63266	0.57297	0.44593	0.62999	0.64093	0.62901	0.52646	0.58005	0.54953	0.70076	0.50945	0.51929	0.61106	0.53731	0.54937	0.5277	0.55616	0.42971	0.57937	0.46942	0.53787	0.57014	0.5374	0.55292	0.51258	0.54878	0.5588	0.51319	0.46285	0.51938	0.48241	0.62214	0.54918	0.53011	1.0	0.44946	0.47662	0.54803	0.54593	0.53226	0.55836	0.46294	0.43296	
D00524	0.50657	0.6695	0.63548	0.65566	0.63399	0.5731	0.69525	0.57654	0.62456	0.50938	0.68082	0.58747	0.56426	0.57065	0.62129	0.68369	0.58268	0.66132	0.59114	0.55678	0.64656	0.66652	0.64841	0.56654	0.67329	0.67077	0.67055	0.51454	0.50053	0.64756	0.58268	0.60054	0.60169	0.59635	0.5983	0.5613	0.53526	0.67998	0.68333	0.58887	0.54658	0.5991	0.48076	0.62566	0.52415	0.57343	0.63346	0.50678	0.56426	0.49681	0.61672	0.66609	1.0	0.5632	0.59153	0.54045	0.52609	0.69317	0.441	0.57256	
D00528	0.46818	0.66119	0.6775	0.64921	0.70895	0.69864	0.73658	0.63757	0.6955	0.53559	0.72947	0.65367	0.68891	0.66	0.63835	0.67485	0.62194	0.69186	0.66713	0.5148	0.73518	0.71026	0.66589	0.62143	0.70363	0.66194	0.68914	0.63626	0.60533	0.66385	0.60478	0.63769	0.71643	0.62114	0.60309	0.60193	0.55937	0.6611	0.67623	0.63884	0.67175	0.61976	0.58573	0.61913	0.55272	0.63012	0.65757	0.54862	0.58703	0.55937	0.6225	0.67927	0.52322	1.0	0.6236	0.60232	0.55024	0.67739	0.55067	0.56927	
D00530	0.42861	0.58012	0.67307	0.57786	0.60023	0.63319	0.67306	0.53268	0.64666	0.62018	0.64805	0.64777	0.53815	0.56159	0.72834	0.63567	0.59909	0.63496	0.62942	0.43381	0.66677	0.67553	0.57829	0.59016	0.60953	0.64677	0.68582	0.5692	0.60954	0.66178	0.64721	0.52329	0.48819	0.61747	0.48866	0.66599	0.48341	0.64614	0.69104	0.59073	0.59998	0.61414	0.59409	0.56592	0.65616	0.48579	0.52389	0.55767	0.64374	0.60837	0.60908	0.66683	0.45212	0.50411	1.0	0.61988	0.54509	0.59808	0.55824	0.44276	
D00533	0.50009	0.75062	0.71558	0.62033	0.6938	0.66742	0.70661	0.61923	0.68407	0.90852	0.76229	0.71269	0.73389	0.63682	0.63905	0.68567	0.70179	0.82528	0.7532	0.50735	0.70206	0.69882	0.81638	0.70299	0.71598	0.69614	0.74549	0.53507	0.60683	0.76705	0.67173	0.61987	0.55806	0.61818	0.47509	0.79636	0.49464	0.692	0.69386	0.66883	0.68717	0.67107	0.64335	0.61685	0.69032	0.50082	0.53395	0.7017	0.64632	0.607	0.6684	0.72762	0.4762	0.57419	0.69293	1.0	0.70317	0.62868	0.66479	0.50065	
D00536	0.53812	0.76794	0.7329	0.64284	0.69956	0.65835	0.69136	0.59322	0.67701	0.70476	0.73328	0.67365	0.7393	0.56385	0.76503	0.76358	0.72471	0.77809	0.77363	0.62905	0.70673	0.70325	0.76761	0.69312	0.68144	0.75861	0.74088	0.62689	0.68228	0.74655	0.67749	0.56275	0.62881	0.7186	0.59265	0.6615	0.54642	0.75186	0.73561	0.64352	0.72952	0.61101	0.72293	0.72271	0.60363	0.5809	0.60677	0.7696	0.73057	0.66653	0.62745	0.7419	0.51134	0.576	0.67212	0.75456	1.0	0.69	0.68657	0.5394	
D00537	0.42348	0.57283	0.52519	0.5834	0.53165	0.47408	0.51476	0.46513	0.49677	0.40776	0.53538	0.47408	0.45194	0.44608	0.53742	0.53471	0.47428	0.49997	0.49015	0.45467	0.55521	0.55616	0.48707	0.46513	0.51518	0.51305	0.62759	0.42066	0.46746	0.50661	0.45541	0.46831	0.50865	0.51193	0.46728	0.44877	0.43925	0.52228	0.54079	0.48496	0.45194	0.44251	0.44859	0.46755	0.44251	0.45159	0.49615	0.40441	0.45223	0.47699	0.44944	0.53844	0.46746	0.46495	0.46531	0.43616	0.47093	1.0	0.40479	0.41376	
D00538	0.52779	0.7008	0.69639	0.61561	0.65897	0.66037	0.71187	0.57876	0.68914	0.76685	0.68914	0.7211	0.68031	0.54506	0.71206	0.70421	0.66253	0.69817	0.80413	0.51502	0.68645	0.68405	0.68616	0.76243	0.64453	0.71321	0.70094	0.66552	0.71248	0.74707	0.66202	0.58056	0.66089	0.71933	0.49865	0.71636	0.53007	0.6982	0.68986	0.78073	0.67926	0.66263	0.71182	0.64839	0.67926	0.48372	0.56791	0.78892	0.73125	0.72468	0.75948	0.69355	0.47164	0.60757	0.71558	0.75474	0.73083	0.64378	1.0	0.46063	
D00539	0.53016	0.7031	0.71108	0.67425	0.73217	0.63334	0.72231	0.63158	0.68011	0.58959	0.72574	0.69407	0.70147	0.6913	0.71438	0.71709	0.66539	0.72827	0.69094	0.7148	0.72098	0.72654	0.717	0.66488	0.71108	0.7271	0.68594	0.59199	0.76044	0.6986	0.64874	0.64854	0.71125	0.70365	0.71201	0.68456	0.63043	0.7334	0.7103	0.6338	0.69989	0.70042	0.76111	0.76648	0.63232	0.92186	0.79771	0.65475	0.63285	0.66287	0.6657	0.70549	0.69512	0.71152	0.66184	0.66768	0.67217	0.69824	0.56021	1.0	
